1 easy (tadepalli)
050 060 001
000 002 030

16 Evil (Wei Wu/Wei Zhang)
501 300 002
600 041 500
000 000 000
174 903 080
003 000 700
050 708 413
000 000 000
006 530 004
900 004 207

17 easy (lynn)
250	700	006
000	065	201
630	100	540
109	500	600
500	000	003
006	009	708
063	001	087
902	870	000
700	006	012

18 easy (lynn)
501	037	090
090	000	006
008	409	001
050	600	087
206	090	503
980	001	040
600	803	400
800	000	060
070	920	108

19 easy (brewster)
030	190	000
400	563	001
002	004	093
305	470	000
708	000	905
000	058	402
970	800	300
500	237	009
000	016	050

20 easy (brewster)
004	300	890
020	000	017
010	427	003
007	050	030
401	000	605
080	040	700
800	569	070
560	000	040
072	004	900

21 medium (lynn)
050	061	400
060	000	802
000	087	006
134	000	000
200	000	004
000	000	731
800	420	000
501	000	040
009	810	060

22 medium (lynn)
080	010	570
000	300	080
100	058	023
200	040	005
010	509	060
600	070	008
530	280	004
020	004	000
041	090	030

23 medium (brewster)
206	070	003
050	000	000
900	023	000
003	010	700
581	030	426
002	080	500
000	850	007
000	000	010
100	040	905

24 medium (brewster)
003	060	904
000	000	070
000	390	100
600	080	003
294	030	758
700	050	009
006	075	000
080	000	000
107	020	800

25 Evil (Wei Wu/Wei Zhang)
900 002 105
005 140 006
000 000 000
030 208 471
007 000 200
214 307 050
000 000 000
400 025 600
709 400 008

26 hard (lynn)
000	001	650
000	527	900
500	000	003
000	050	096
009	000	700
140	070	000
600	000	009
002	746	000
057	800	000

27 evil (brewster)
400	070	003
032	160	000
000	050	080
009	000	000
207	090	301
000	000	200
070	020	000
000	013	840
900	080	005

28 evil (brewster)
010	000	080
800	035	040
004	720	000
209	500	000
000	040	000
000	006	305
000	054	700
090	380	001
050	000	060

29 Easy (hillier)
045	000	600
910	605	007
067	180	000
700	000	450
000	573	000
081	000	009
000	048	720
800	301	064
002	000	190

30 Easy  (hillier)
600	850	300
008	007	900
040	910	085
030	009	008
520	030	067
700	600	030
860	042	090
005	300	200
002	096	003

31 Medium  (hillier)
000	500	300
020	040	010
600	100	072
000	305	604
800	020	001
403	801	000
260	009	003
070	050	060
001	007	000

32 Hard  (hillier)
400	008	000
002	050	030
500	260	000
804	000	020
021	080	640
060	000	807
000	093	006
080	040	900
000	500	002

33 Hard  (hillier)
060	200	003
000	008	200
370	100	080
006	000	720
400	000	008
093	000	600
010	002	045
008	300	000
900	006	010

34 Evil  (hillier)
006	000	470
200	700	080
000	620	900
000	409	208
000	000	000
908	203	000
003	052	000
060	001	003
049	000	100

35 Medium (Kyle)
000 000 620
106 230 040
900 600 001
200 400 803
090 000 010
708 009 004
600 005 008
020 048 905
045 000 000

36 Medium (Kyle)
400 300 000
018 509 020
090 400 803
000 700 206
072 000 540
609 008 000
904 007 080
020 806 170
000 005 002

37 Hard (Kyle)
003 900 100
007 003 500
000 025 070
000 000 040
070 348 020
010 000 000
040 730 000
001 800 600
005 006 300

38 Hard (Kyle)
403 009 000
050 030 400
006 020 030
700 080 100
030 705 060
005 010 007
020 090 600
001 070 040
000 500 809

39 Evil (Kyle)
206 401 030
013 000 007
000 003 000
005 090 000
308 000 105
000 060 200
000 800 000
900 000 510
070 609 302

40 Evil (Kyle)
000 302 090
001 000 020
203 000 058
000 500 400
010 000 080
007 009 000
480 000 705
050 000 900
070 601 000

41 easy (Kyle)
045 803 190
070 609 020
000 070 000
300 906 702
009 030 800
406 702 009
000 040 000
080 107 030
097 308 510

42 easy (Kyle)
000 065 030
570 091 060
020 340 008
600 000 900
019 628 470
008 000 006
700 082 050
030 750 049
060 910 000

43 easy (Judah)
010 006 900
900 130 028
800 520 106
025 370 000
000 000 000
000 052 710
703 065 001
190 047 005
008 900 040

44 easy (Judah)
600 000 020
590 120 468
004 800 000
980 002 350
010 609 080
045 300 076
000 003 700
462 071 035
030 000 009

45 medium (Judah)
005 300 407
003 002 000
100 040 080
320 100 700
600 924 005
008 003 021
060 080 009
000 700 600
904 006 500

46 medium (Judah)
070 050 290
050 000 600
306 801 000
809 000 710
600 000 004
037 000 806
000 503 109
003 000 040
061 090 070

47 hard (Judah)
000  060  830 
000  500  004
503  200  060
040  020  000
200  931  006
000  080  010 
050  002  407 
800  009  000 
012  070  000

48 evil (Judah)
000 000 001
793 001 002
120 009 000
004 092 000
070 000 060
000 810 400
000 500 043
800 100 576
300 000 000

49 Easy (Chaitanya)
006 300 080
000 490 316
301 800 740
003 000 004
687 000 295
400 000 600
058 003 901
139 028 000
060 007 800

50 Easy (Chaitanya)
004 900 017
670 800 000
509 030 004
300 740 100
068 000 790 
001 068 005
100 090 306
000 006 081
240 001 500

51 Evil (Chaitanya)
081 260 500
000 900 008
000 700 200
200 000 030
040 000 080
050 000 007
004 008 000
600 009 000
009 014 360

52 Evil (Chaitanya)
800 093 600
930 020 000
006 100 000
009 000 082
020 000 010
740 000 900
000 001 400 
000 080 061
007 340 008

53 Hard (Chaitanya)
005 908 070
700 050 000
400 006 200
903 000 020 
020 090 040
010 000 509
002 700 008
000 030 006
090 601 700

54 Medium (Chaitanya)
000 600 000
720 010 008
590 870 000
005 000 040 
130 486 059
040 000 200
000 064 032
200 050 016
000 009 000

55 easy (mcdougal)
007  062  001
000  000  905
028  410  030
830  004  579
000  000  000
972  300  014
050  047  260
703  000  000
200  650  100

56 medium (mcdougal)
000  160  400
300  000  007
006  000  200
008  570  004
609  324  108
700  019  300
003  000  600
800  000  009
005  092  000

57 medium (mcdougal)
000  030  100
030  608  905
000  071  002
020  580  400
040  703  020
006  049  030
800  160  000
103  802  060
004  090  000

58 hard (mcdougal)
200  040  083
000  005  060
001  098  000
130  000  800
060  030  040
009  000  057
000  680  700
020  900  000
810  070  009

59 hard (mcdougal)
000  400  098
600  000  070
300  080  600
501  040  000
030  795  080
000  010  205
007  050  002
050  000  009
240  006  000

60 evil (mcdougal)
008  070  100
000  000  020
500  400  800
090  008  504
000  104  000
803  500  060
007  003  009
030  000  000
001  020  600

61 Easy (knudson)
000 106 000
109 348 020
076 000 800
502 069 103
900 000 002
807 230 904
001 000 290
090 783 406
000 901 000

62 Easy (knudson)
200 300 001
081 002 060
639 004 000
805 070 004
002 010 500
700 040 806
000 500 628
090 800 140
500 001 003

63 Medium (knudson)
700 000 900
000 980 030
043 056 700
500 100 870
600 000 001
071 005 003
002 530 680
010 024 000
006 000 002

64 Medium (knudson)
003 051 080
084 200 500
000 070 400
008 007 002
070 000 030
500 100 700
001 060 000
007 003 860
040 820 900

65 Hard (knudson)
407 080 000
000 900 810
010 064 700
000 008 203
040 000 070
602 300 000
005 710 060
086 005 000
000 030 109

66 Hard (knudson)
000 000 000
420 000 035
000 071 600
040 080 502
002 010 700
806 020 090
001 360 000
350 000 026
000 000 000

67 Easy (Wei Wu/Wei Zhang)
068 900 305
010 060 004
402 073 000
270 100 000
009 406 200
000 007 063
000 310 908
300 020 070
104 008 630

68 Easy (Wei Wu/Wei Zhang)
018 900 206
050 010 004
407 032 000
730 500 000
009 401 700
000 003 012
000 250 908
200 070 030
504 008 120

69 Easy (Wei Wu/Wei Zhang)
201 005 360
800 060 040
000 170 908
000 004 079
009 608 500
160 700 000
305 041 000
070 090 001
016 300 804

70 Easy (Wei Wu/Wei Zhang)
013 025 090
000 096 300
009 000 002
036 004 078
980 702 031
120 600 450
300 000 700
005 240 000
060 370 920

71 Medium (Wei Wu/Wei Zhang)
010 830 200
800 960 000
530 000 900
000 000 473
600 000 009
394 000 000
002 000 086
000 087 002
005 023 090

72 Medium (Wei Wu/Wei Zhang)
900 000 000
037 000 040
000 142 090
002 400 009
800 050 003
600 001 400
070 298 000
080 000 750
000 000 002

73 Medium (Wei Wu/Wei Zhang)
400 081 000
060 000 130
050 300 000
007 200 400
001 060 300
004 003 200
000 004 050
075 000 080
000 970 001

74 Medium (Wei Wu/Wei Zhang)
300 000 000
061 000 080
000 287 030
007 800 003
900 040 006
500 002 800
010 739 000
090 000 140
000 000 007

75 Hard (Wei Wu/Wei Zhang)
306 000 000
000 005 003
002 004 608
540 600 000
008 090 700
000 002 036
104 200 900
800 700 000
000 000 807

76 Hard (Wei Wu/Wei Zhang)
801 000 000
000 008 001
007 005 903
260 500 000
008 070 100
000 002 094
102 900 500
600 400 000
000 000 206

77 Hard (Wei Wu/Wei Zhang)
700 300 150
000 200 000
604 050 200
000 600 480
000 090 000
032 004 000
006 080 905
000 007 000
075 006 008

